"MSE","PSNR","SSIM","FIDELITY"
"noisy_gaussian-0.4.jpg","1.9674879807692307","45.19168272899854","0.810979723522936","0.9938480329405243"
"noisy_gaussian-0.8.jpg","34.08081931089744","32.805703341064444","0.12539724960677404","0.9010635433066253"
"noisy_rayleigh-20.jpg","331.17433393429485","22.930236893451333","0.4611454949011049","0.11493428822278196"
"noisy_rayleigh-40.jpg","343.4404997996795","22.772288533790434","0.21502805158729676","0.0737922777557325"
"noisy_uniform-20.jpg","215.58746995192308","24.79456845025161","0.7880039771277549","0.4271253389459698"
"noisy_uniform-40.jpg","291.1624248798077","23.48945033222413","0.5153376783049642","0.22156333860085264"
"noisy_exponential-20.jpg","247.88851662660255","24.18823952217124","0.325277643661785","0.3376394557144953"
"noisy_exponential-40.jpg","290.52914162660255","23.498906598975978","0.15576475064313022","0.22173936636930058"
"noisy_speckle-0.4.jpg","3.8769481169871796","42.245903717402314","0.7659929811887772","0.987742417888344"
"noisy_speckle-0.8.jpg","66.39762119391025","29.909278405490554","0.15579795087096074","0.7675845733092324"
"blurred_maskSize-3.jpg","33.259216","32.91168353232961","0.9354122802736234","0.909173434961862"
"blurred_maskSize-5.jpg","62.248988","30.189480654951282","0.8494949634146719","0.8348328052036371"
"blurred_maskSize-7.jpg","83.3585","28.921304697827107","0.7923288777956395","0.7805268039149373"
"blurred_maskSize-9.jpg","99.63264","28.14678722748578","0.7468698119886996","0.7385795810469776"
"blurred_maskSize-11.jpg","112.459192","27.62085402014658","0.7094537590153923","0.7052838761426963"
"blurred_maskSize-15.jpg","129.502408","27.008025169958934","0.6608462278674445","0.6609993336025254"
"blurred_maskSize-19.jpg","141.639816","26.618950069602935","0.6360428515022866","0.6286172851892475"
"blurred_maskSize-25.jpg","155.255964","26.220320687179026","0.6173763499901825","0.5931528469889262"
"blurred_maskSize-31.jpg","166.330744","25.921078307373175","0.6052581546202783","0.5639538592314814"
"blurred_maskSize-41.jpg","181.795632","25.534969166414022","0.5909941157802703","0.5224315708120018"
"compressed_10.jpg","141.27812147505423","26.630054492553256","0.829087236903432","0.6296923416370394"
"compressed_20.jpg","89.05325379609545","28.63430568681524","0.8983948788058393","0.765798000518018"
"compressed_25.jpg","77.70013015184382","29.226586146000688","0.9146808155486711","0.79634232457861"
"compressed_30.jpg","71.85623861171366","29.566158809930347","0.923934604950996","0.8102929485719206"
"compressed_40.jpg","58.28754880694143","30.4750456874975","0.9443570304742419","0.845628950447765"
"compressed_45.jpg","54.88360954446855","30.736376948730197","0.9482787614515843","0.8550837466635092"
"compressed_50.jpg","52.9330715835141","30.893532650427776","0.9507669892306048","0.860160710038715"
"compressed_60.jpg","49.96582646420824","31.14407285575037","0.9587448960257915","0.8673097965523866"
"compressed_70.jpg","23.598767895878524","34.401910320499084","0.9838214296799451","0.9364248205933466"
"compressed_80.jpg","0.013709327548806941","66.76064207975173","0.999991395741698","0.9999576557510921"
